review_id,rating,text,date,thumbs_up
0b4b7a9b-229c-4c51-a3b7-505fce39fc08,4,"This app is so impressive! It feels like having a personal chartered accountant for all my financial queries and information. Everything is clear, reliable, and easy to access. I’m truly impressed with how helpful and efficient it is!",2026-02-23,21
90ac300b-2f26-455b-b61a-24c77e6e6b2b,1,"guys ihave loss 5L due to the techical issue in INDmony app on 2nd feb that day was unable to exit my position and i make huge loss & same issue has been accepted my CEO of INDmony by mail, now im asking for redound then they are saying NO we can initiate for refound Dear be careful while using this app.... good luck",2026-02-14,21
76deca6b-bb43-4ac5-8391-c45a86275ae3,1,"I did a trade in options for scalping and then their server crashed and I cannot exit my order. I had a huge loss. I tried to connect with their customer support and still hadn't gotten any reply. worst trading platform. Update They first said that they will reimburse the amount that I have lost during their server crash then they said that they cannot reimburse the amount so they will give me 2 month free brokerage and they still didn't provide me that. So please never use INDmoney",2026-02-05,21
